AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,Criminal Case,Education,Total Assets,Liabilities,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS,Winner
80,Ferozepur Jhirka,AARIF KHAN,MALE,28,GENERAL,SP,0,12th Pass,"Rs 9,37,000",Rs 0,Bicycle,107,,107,0.072920074,208910,0
62,Rohtak,AASHISH,MALE,31,GENERAL,IND,0,Graduate,"Rs 7,15,001","Rs 4,35,250",Lady Finger,30,,30,0.026127625,191796,0
46,Ellenabad,Abhay Singh Chautala,MALE,54,GENERAL,INLD,2,10th Pass,"Rs 66,61,34,010","Rs 73,39,894",Spectacles,56976,79,57055,37.8640068,181021,1
8,Jagadhri,Adarsh Pal Singh,MALE,51,GENERAL,BSP,17,Graduate,"Rs 8,78,00,000","Rs 6,00,000",Elephant,47938,50,47988,28.11099591,216563,0
88,Ballabhgarh,ADESH KUMAR,MALE,29,GENERAL,SP,0,Graduate,"Rs 56,94,161","Rs 39,82,728",Bicycle,499,,499,0.407057845,238540,0
43,Dabwali,ADITYA,MALE,42,GENERAL,BJP,0,Graduate,"Rs 22,50,51,933",Rs 0,Lotus,51158,80,51238,32.60742287,199291,0
53,Nalwa,ADVOCATE BAJRANG INDAL,MALE,36,SC,BSP,0,Graduate,"Rs 5,93,358",Rs 0,Elephant,3499,11,3510,3.034547152,165498,0
63,Kalanaur (SC),Advocate Mukesh Singh,MALE,42,SC,IND,1,Graduate,"Rs 1,00,000",Rs 0,Football Player,232,1,233,0.174456042,198561,0
73,Kosli,ADVOCATE RAJ RATTAN,MALE,42,SC,PPID,1,Graduate,"Rs 1,00,000",Rs 0,Basket containing Fruits,145,2,147,0.097772516,239722,0
46,Ellenabad,Advocate Ravinder Balyan,MALE,25,SC,BSP,0,Graduate,"Rs 16,34,000","Rs 2,50,000",Elephant,1943,4,1947,1.292107988,181021,0
49,Narnaund,ADVOCATE SUBHASH GAUR,MALE,32,GENERAL,IND,0,Graduate,"Rs 70,000",Rs 0,Cot,115,,115,0.074994783,198349,0
79,Nuh,Aftab Ahmed,MALE,53,GENERAL,INC,0,Graduate,"Rs 7,23,14,656",Rs 0,Hand,52245,66,52311,41.77060543,170551,1
67,Beri,AJAY AHLAWAT ADVOCATE,MALE,50,GENERAL,NCP,0,Post Graduate,"Rs 19,99,24,000","Rs 27,16,000",Clock,2544,20,2564,2.19528066,174588,0
87,Badkhal,AJAY BHADANA,MALE,36,GENERAL,INLD,0,Graduate,"Rs 91,43,189","Rs 4,50,000",Spectacles,2362,,2362,1.745298703,275347,0
2,Panchkula,Ajay Gautam,MALE,46,GENERAL,JNJP,2,Graduate,"Rs 29,80,000","Rs 5,40,000",Key,676,1,677,0.537305852,210149,0
39,Tohana,AJAY KUMAR,MALE,50,GENERAL,AAAP,1,Graduate,"Rs 5,05,28,979","Rs 22,25,924",Broom,1852,,1852,1.042663634,220517,0
69,Mahendragarh,Ajay Sharma,MALE,41,GENERAL,AAAP,0,10th Pass,"Rs 77,35,060",Rs 0,Broom,302,11,313,0.218361937,195655,0
66,Jhajjar (SC),AJAY TANWAR,MALE,44,SC,LTSP,0,Graduate,"Rs 39,90,047","Rs 7,34,000",Auto- Rickshaw,4108,8,4116,3.701172578,173787,0
68,Ateli,Ajay Yadav,MALE,26,GENERAL,IND,0,Graduate,"Rs 6,99,145","Rs 47,496",Football,2338,7,2345,1.847911742,190134,0
